Username,Genre,Followers,Likes,Plays,Reposts,Comments
 ChiefKeef ,Rap,384864,207975,16018371,20451,1238
 ChiefKeef ,Rap,384864,152285,11499285,15978,596
 ChiefKeef ,Rap,384864,10366,757814,1393,23
 ChiefKeef ,Rap,384864,17840,1327839,3868,304
 ChiefKeef ,Rap,384864,113962,7804796,6273,284
 ChiefKeef ,Rap,384864,159833,12052566,15191,2209
 ChiefKeef ,Rap,384864,98061,6127736,6386,486
 ChiefKeef ,Rap,384864,7984,515276,608,29
 ChiefKeef ,Rap,384864,8577,481321,488,20
 ChiefKeef ,Rap,384864,846543,66612234,58027,6480
 ChiefKeef ,Rap,384864,1200,86264,110,7
 ChiefKeef ,Rap,384864,401,29719,25,5
 ChiefKeef ,Rap,384864,406,31156,20,2
ChiefKeef,Rap,384864,21516,1535231,2384,89
 ChiefKeef ,Rap,384862,6126,451978,417,15
 YUNG LEAN ,Rap,367067,191802,13343194,28855,3295
 YUNG LEAN ,Rap,367067,33427,1788910,5048,460
 MadeinTYO ,Rap,359862,1013031,76731820,76042,5655
 MadeinTYO ,Rap,359862,74141,4561832,8026,179
 MadeinTYO ,Rap,359862,5778,395501,568,6
 MadeinTYO ,Rap,359862,93431,5650614,9967,441
 MadeinTYO ,Rap,359862,19607,1121759,2063,43
 XavierWulf ,Rap,357094,180910,13468844,15548,941
 XavierWulf ,Rap,357094,91307,7008194,8995,581
 XavierWulf ,Rap,357094,98236,7747332,8299,458
 XavierWulf ,Rap,357094,57330,4600326,5842,211
 XavierWulf ,Rap,357094,23883,1756254,3145,210
 XavierWulf ,Rap,357094,44785,2603491,6171,304
 Lil Dicky ,Rap,335029,683852,45661524,52934,5029
 Virtual Riot ,Rap,311234,5998,140067,706,368
G Herbo ,Rap,285775,15280,1041825,618,13
G Herbo ,Rap,285775,36371,2458290,1765,41
 ChrisTravis ,Rap,280966,5438,319496,484,12
 ChrisTravis ,Rap,280966,273929,19760751,28224,1397
 ChrisTravis ,Rap,280966,3025,173289,589,49
 ChrisTravis ,Rap,280966,44863,3392635,4893,238
 Famous Dex ,Rap,280961,9483,551148,485,35
 ASAPMob ,Rap,279760,110867,7632955,6522,271
 LifeOfDesiigner ,Rap,278162,145360,10645662,10064,1015
wifisfuneral ,Rap,272927,66224,3655564,7282,188
 Plugged Soundz ,Rap,255982,49661,2587627,4232,289
 Plugged Soundz ,Rap,255982,9168,511530,799,21
 Plugged Soundz ,Rap,255982,56098,3479962,5061,205
 Plugged Soundz ,Rap,255982,19707,1282493,1931,188
 Plugged Soundz ,Rap,255982,22782,1499443,1931,68
 Plugged Soundz ,Rap,255982,22949,1231629,2110,166
 Plugged Soundz ,Rap,255982,44925,2933217,3610,307
 Plugged Soundz ,Rap,255982,68907,4854947,4499,308
 Plugged Soundz ,Rap,255982,13771,1133984,1134,31
 Plugged Soundz ,Rap,255982,43236,2660879,3600,343
 Plugged Soundz ,Rap,255982,6452,268887,624,12
 Plugged Soundz ,Rap,255982,5489,233166,566,20
 Plugged Soundz ,Rap,255982,25678,1616102,2143,82
 Plugged Soundz ,Rap,255982,19414,1256027,1356,40
 Plugged Soundz ,Rap,255982,2727,200767,209,3
 Plugged Soundz ,Rap,255982,3129,197081,201,3
 Plugged Soundz ,Rap,255982,8018,367725,673,11
 Plugged Soundz ,Rap,255982,8218,567204,502,13
 Plugged Soundz ,Rap,255982,3526,226552,245,4
 Plugged Soundz ,Rap,255980,9842,389666,797,34
 Trill Sammy ,Rap,250308,19803,1057423,1306,62
IFFY FM ,Rap,248703,88955,3874711,18242,760
 ILOVEMAKONNEN ,Rap,248010,45560,2393864,6804,325
 ILOVEMAKONNEN ,Rap,248010,135334,7288869,18774,583
 ILOVEMAKONNEN ,Rap,248010,170163,10733161,23538,736
 ILOVEMAKONNEN ,Rap,248010,56995,3576169,6707,279
 Stones Throw Records ,Rap,245294,19982,1088810,1906,152
 SpeakerKnockerz ,Rap,235372,1542147,12848359,138287,26865
 SpeakerKnockerz ,Rap,235371,520867,41975774,57511,4827
 2 Chainz ,Rap,222383,23533,1490965,2364,93
 2 Chainz ,Rap,222383,392268,26931610,30908,1132
 Ft. Shakewell & Mikey The Magician Prod.Mikey The Magician by Fat Nick ,Rap,208387,11581,883401,1183,50
 Fat Nick ,Rap,208387,32494,2190975,2935,109
 Fat Nick ,Rap,208387,13263,988256,1199,34
 Fat Nick ,Rap,208387,14318,947013,1645,91
 Fat Nick ,Rap,208387,9807,760010,921,30
 Fat Nick ,Rap,208387,9151,681388,719,17
 Fat Nick ,Rap,208387,162595,13804285,10973,1188
 Fat Nick ,Rap,208387,12105,805901,1240,58
 Fat Nick ,Rap,208387,10322,758586,943,48
 Fat Nick ,Rap,208387,201317,20953018,9290,2189
 Fat Nick ,Rap,208387,6077,540784,468,16
 Fat Nick ,Rap,208387,5403,474146,454,18
 Fat Nick ,Rap,208387,25838,1603276,3486,164
 Fat Nick ,Rap,208387,15618,1166527,1412,63
 Fat Nick ,Rap,208387,30898,1874297,3084,233
 Fat Nick ,Rap,208387,67913,4623581,7248,273
 Fat Nick ,Rap,208387,59583,3978320,6441,242
 Jay Critch ,Rap,189524,41027,2412305,2829,60
 Jay Critch ,Rap,189524,25629,1565179,1645,55
 D Savage ,Rap,167835,44039,3458801,3973,327
 D Savage ,Rap,167835,79836,6842654,6873,496
 D Savage ,Rap,167835,336450,25481878,25056,1451
 D Savage ,Rap,167834,130743,10889881,10463,560
 UnoTheActivist ,Rap,167700,65653,3560195,5628,206
 UnoTheActivist ,Rap,167700,35250,1933177,3744,181
 UnoTheActivist ,Rap,167699,77503,4484547,6978,287
 Germ ,Rap,167099,75268,4832346,8387,247
 Germ ,Rap,167099,181001,15225862,12687,833
 Germ ,Rap,167099,47200,3098937,5708,186
 MAXO KREAM ,Rap,165905,51194,3580839,4272,134
 MAXO KREAM ,Rap,165905,41966,2484632,4784,106
 AWGE ,Rap,163674,86443,5279304,10478,593
 AWGE ,Rap,163674,325989,19804808,33603,963
Robb Bank$ ,Rap,160821,9466,661999,2306,65
 Robb Bank$ ,Rap,160821,37079,2076783,5326,134
 Robb Bank$ ,Rap,160821,33804,1846213,5043,100
 Robb Bank$ ,Rap,160821,13592,657584,2331,45
 Robb Bank$ ,Rap,160821,9806,486953,1745,58
 Robb Bank$ ,Rap,160821,42917,2566735,5991,211
 Robb Bank$ ,Rap,160821,60539,3139388,9201,203
 Robb Bank$ ,Rap,160821,24435,1313788,4967,154
 Robb Bank$ ,Rap,160821,13466,739754,2065,182
Robb Bank$ ,Rap,160821,14303,860906,2939,174
Robb Bank$ ,Rap,160821,4837,399270,1016,61
 Knx.ノレッジ ,Rap,156671,7973,364773,1293,207
 GOTHBOICLIQUE ,Rap,151191,5401,345116,265,53
 LUCKI ,Rap,142971,22137,1076811,1595,168
 LUCKI ,Rap,142971,20014,858230,1181,290
 LUCKI ,Rap,142971,8058,670171,653,28
 LUCKI ,Rap,142971,28295,1924189,3129,282
 LUCKI ,Rap,142971,9565,769822,810,15
 LUCKI ,Rap,142971,6793,606984,605,24
 Sonny Digital ,Rap,138426,37645,2684144,3378,69
 Sonny Digital ,Rap,138426,29565,1746891,3078,114
 Pierre Bourne ,Rap,134018,11095,584936,719,24
 YoGottiKOM ,Rap,133936,69436,5195644,2977,190
 Young Dolph ,Rap,131995,21508,1561966,893,25
 Young Dolph ,Rap,131995,68131,4494994,2892,78
 Young Dolph ,Rap,131995,58988,4528385,3129,121
 Murda Beatz ,Rap,130051,19986,945997,2510,129
 Murda Beatz ,Rap,130051,102412,5245102,7291,400
 Murda Beatz ,Rap,130050,16945,1058702,1774,59
 THOUXANBANFAUNI ,Rap,126488,36845,2204020,3524,100
 THOUXANBANFAUNI ,Rap,126488,99557,5847918,8168,364
 THOUXANBANFAUNI ,Rap,126487,2603,122141,169,35
 AKACHI BEATS & GREN8 by THOUXANBANFAUNI ,Rap,126487,23060,1003752,1857,106
 Nebu Kiniza ,Rap,119623,62618,3517507,8768,176
 RONNYJ ,Rap,115097,295097,23245915,21095,3097
 RONNYJ ,Rap,115097,164722,10718531,12047,935
 16yrold ,Rap,115002,41499,2283772,3864,203
 Gallant ,Rap,114620,3507,311775,733,57
 Gallant ,Rap,114620,9528,573541,2203,135
 Gallant ,Rap,114620,2237,178824,439,24
 Gallant ,Rap,114620,4488,354221,982,61
 Gallant ,Rap,114620,4427,389244,877,77
 Digital Trapstars ,Rap,114167,57957,4028906,8755,707
 Young Nudy ,Rap,113644,16456,739539,1097,34
 Young Nudy ,Rap,113644,9893,558267,522,19
 Young Nudy ,Rap,113644,12942,819733,632,38
 Young Nudy ,Rap,113644,5083,302724,218,12
 Young Nudy ,Rap,113644,14565,828649,814,32
 Young Nudy ,Rap,113644,5166,316574,285,21
 Young_Dolph ,Rap,111627,326705,23226255,22566,1002
 Young_Dolph ,Rap,111627,27187,1648711,1845,51
 KEY! ,Rap,110812,25792,1459718,4452,121
 KEY! ,Rap,110812,3114,181723,407,19
 KEY! ,Rap,110812,31835,1574112,4859,150
 KEY! ,Rap,110812,6122,306157,1040,30
 KEY! ,Rap,110812,15117,713878,2457,56
 KEY! ,Rap,110811,5463,271766,905,27
 Blac Youngsta ,Rap,108076,149774,9533566,5880,180
 Blac Youngsta ,Rap,108076,18172,1169256,1119,97
 Stoopidxool & Akachi by Joey Trap ,Rap,107845,594,30877,22,26
 Joey Trap ,Rap,107845,698,44026,32,8
 Joey Trap ,Rap,107845,2093,134332,85,16
 Joey Trap ,Rap,107845,890,57252,39,5
 Joey Trap ,Rap,107845,850,53555,33,5
 Joey Trap ,Rap,107845,654,44446,30,10
 Joey Trap ,Rap,107845,641,37698,31,8
 Joey Trap ,Rap,107845,2661,127611,145,44
 Joey Trap ,Rap,107845,7118,415084,246,154
 Joey Trap ,Rap,107845,3684,210391,88,80
 Joey Trap ,Rap,107845,1224,45929,53,47
 Joey Trap ,Rap,107845,1210,53246,50,43
 Joey Trap ,Rap,107845,1189,58786,36,60
 Joey Trap ,Rap,107845,965,72645,40,5
 Joey Trap ,Rap,107845,1625,104987,77,20
 Joey Trap ,Rap,107845,2967,201093,106,36
 Joey Trap ,Rap,107845,760,53992,33,11
 Joey Trap ,Rap,107845,2748,144026,188,30
 Joey Trap ,Rap,107845,637,46451,25,6
 Joey Trap ,Rap,107845,916,63488,48,10
 SahBabii ,Rap,104370,92385,5333255,6714,466
 SahBabii ,Rap,104368,61388,3788002,4524,361
 SahBabii ,Rap,104368,7421,446580,492,84
24hrs ,Rap,104043,64504,3511945,2,212
 24hrs ,Rap,104043,116374,5786762,15005,368
 24hrs ,Rap,104043,17551,947677,2579,125
 HBK GANG ,Rap,99323,69740,4032071,9094,205
 HBK GANG ,Rap,99323,21800,1521140,2859,96
 HBK GANG ,Rap,99323,96652,6122730,12596,126
 HBK GANG ,Rap,99323,28066,1900110,4127,89
 Rob $TONE ,Rap,97052,1388842,11368731,97022,12816
 SwuM ,Rap,94213,14506,605065,2894,253
Hoodrich Pablo Juan ,Rap,93958,3931,264214,280,12
Hoodrich Pablo Juan ,Rap,93958,2508,194067,173,12
Hoodrich Pablo Juan ,Rap,93958,4542,269082,495,22
Hoodrich Pablo Juan ,Rap,93958,6853,319390,746,20
Hoodrich Pablo Juan ,Rap,93958,3233,219029,249,5
Hoodrich Pablo Juan ,Rap,93958,6886,420020,456,19
Hoodrich Pablo Juan ,Rap,93958,13397,1024641,905,19
Hoodrich Pablo Juan ,Rap,93955,6281,469650,454,17
Hoodrich Pablo Juan ,Rap,93955,4876,400762,312,11
Hoodrich Pablo Juan ,Rap,93955,2127,171406,154,9
Hoodrich Pablo Juan ,Rap,93955,4131,309281,272,9
Hoodrich Pablo Juan ,Rap,93955,1742,111121,158,4
Hoodrich Pablo Juan ,Rap,93955,1871,118469,210,6
Hoodrich Pablo Juan ,Rap,93955,7464,399180,790,33
Hoodrich Pablo Juan ,Rap,93955,4406,216387,506,16
Hoodrich Pablo Juan ,Rap,93955,5095,304103,516,12
 Planet Mu Records ,Rap,85606,1320,50545,117,33
 WARHOL.SS ,Rap,80717,8982,334835,978,31
 k$upreme ,Rap,80516,7259,420382,490,34
 k$upreme ,Rap,80516,6043,361488,423,31
 k$upreme ,Rap,80516,25345,1580510,2758,131
 k$upreme ,Rap,80516,16806,922768,1648,156
 DJ SMOKEY 666 ,Rap,80450,3541,161940,482,33
IAMSU! ,Rap,79983,159057,11154661,10501,252
IAMSU! ,Rap,79983,24272,1308846,3260,79
 DailyLoudSounds ,Rap,76960,173821,11999497,9076,550
 Soulja Boy ,Rap,76514,22,1373,2,0
 Soulja Boy ,Rap,76513,3127,159135,437,64
 Soulja Boy ,Rap,76513,1927,114147,176,13
 BLADEE ,Rap,72286,11273,653020,1452,268
 BLADEE ,Rap,72286,10688,599880,1222,202
 B L A C K K R A Y ,Rap,71334,3223,152123,324,23
 B L A C K K R A Y ,Rap,71333,6459,293184,588,65
 B L A C K K R A Y ,Rap,71333,10312,521030,1067,48
 Daily Hits ,Rap,67875,29869,2308169,986,18
 Young Chop ,Rap,67101,15769,1366600,2851,373
 Young Chop ,Rap,67101,138918,11217637,13538,682
 Young Chop ,Rap,67101,135860,9719622,7702,488
 Young Chop ,Rap,67101,643,42495,59,4
 tsuruda ,Rap,65588,1343,14954,185,69
 tsuruda ,Rap,65588,1284,13392,203,66
 tsuruda ,Rap,65588,2261,36433,266,122
 tsuruda ,Rap,65588,1576,25612,212,101
 FredoSantana300 ,Rap,65470,49478,3355314,7521,689
 FredoSantana300 ,Rap,65470,37477,2493851,4460,249
 Bankroll Fresh ,Rap,65339,32570,1932694,2583,199
 Bankroll Fresh ,Rap,65339,467095,33154610,30940,1686
 Ramriddlz ,Rap,63197,21525,1516293,4361,156
 Ramriddlz ,Rap,63197,61689,3960337,10558,213
 Ramriddlz ,Rap,63197,2771,289837,438,6
 Ramriddlz ,Rap,63197,9798,861835,1614,35
 POLLARI ,Rap,62051,45642,2701643,4739,146
 ROJAS ,Rap,61572,1956487,17639951,108503,41837
 Lil Wop17 ,Rap,60203,3976,229707,203,9
 CHXPO SOICY ,Rap,56314,560,37536,46,6
 CHXPO SOICY ,Rap,56314,388,18354,30,1
 CHXPO SOICY ,Rap,56314,562,24713,67,2
 CHXPO SOICY ,Rap,56314,558,31250,53,8
 CHXPO SOICY ,Rap,56314,600,31200,65,9
 CHXPO SOICY ,Rap,56314,5576,230343,538,61
 e40 ,Rap,55107,111221,9337267,14823,1029
 Authors Recording Company ,Rap,53784,6888,231990,1194,254
 drain gang ,Rap,53359,4917,371130,773,114
 NASCAR ALOE ,Rap,52531,4523,254812,290,137
 NASCAR ALOE ,Rap,52531,5646,339161,363,152
 NASCAR ALOE ,Rap,52531,7150,444281,320,109
 T.T.B. ,Rap,51314,29090,1541752,2482,86
 T.T.B. ,Rap,51314,71348,4413932,6160,297
 T.T.B. ,Rap,51314,40978,2366944,2907,195
 T.T.B. ,Rap,51314,17567,855093,1516,44
 T.T.B. ,Rap,51312,16124,682852,1832,42
 T.T.B. ,Rap,51312,20483,1235385,1823,71
 TWO-9 ,Rap,49266,3250,174480,486,7
 Smooky MarGielaa ,Rap,45769,9260,549114,860,30
 Smooky MarGielaa ,Rap,45769,12210,764271,902,35
 BRENMAR ,Rap,45282,17154,1017403,2319,69
 @damnbrandont ,Rap,42308,69676,39781443,7717,1071
 Larry League ,Rap,40798,17269,1128984,1983,64
BobbyRaps ,Rap,39907,11440,518213,2214,92
 yung gleesh ,Rap,38807,1174,44045,50,15
 yung gleesh ,Rap,38807,34525,1609291,3472,209
 yung gleesh ,Rap,38807,9038,376457,1150,29
 yung gleesh ,Rap,38807,6260,297616,993,34
 yung gleesh ,Rap,38807,6026,382704,658,22
 yung gleesh ,Rap,38807,1292,95880,155,8
 Reese LAFLARE ,Rap,38515,46162,2667537,6029,110
 LilBTheBasedGod ,Rap,37046,5789,248056,1124,187
 Digital Nas & Scoop by DIGITAL NAS ,Rap,36473,81490,5872720,7407,463
 DIGITAL NAS ,Rap,36473,247402,15584640,17209,1253
 SLIGHT ,Rap,36311,3152,137634,505,179
 SLIGHT ,Rap,36311,1644,63189,238,65
 P-Lo ,Rap,33690,16114,976243,2176,30
 lilcandypaint *Candypaint ,Rap,33352,16895,1013534,1467,102
 lilcandypaint *Candypaint ,Rap,33352,7850,413657,566,28
 thaiboy digital ,Rap,32572,1101,94581,98,18
 thaiboy digital ,Rap,32572,1673,153194,208,29
 thaiboy digital ,Rap,32572,2864,247539,309,45
 thaiboy digital ,Rap,32572,935,92632,110,16
 thaiboy digital ,Rap,32572,673,70330,90,16
 KirbLaGoop ,Rap,27208,3670,159800,624,72
BIG PAPA SLIM ,Rap,25535,429,23559,46,4
BIG PAPA SLIM ,Rap,25535,258,13085,25,2
BIG PAPA SLIM ,Rap,25535,302,11766,23,2
 10k.Caash ,Rap,24687,694,27391,46,8
 rapsandhustles.com ,Rap,24557,4849,362270,520,9
 rapsandhustles.com ,Rap,24557,9482,715755,955,31
" Post Malone, FKi & Rex Kudo by iAmZuse ",Rap,24194,460896,34017510,38760,2015
 DJ PHAT ,Rap,22634,1668,98534,131,5
 DJ PHAT ,Rap,22634,399,21572,32,0
 TrapMoneyBenny by TrapMoneyBenny ,Rap,22308,28651,1602250,3049,157
 TrapMoneyBenny by TrapMoneyBenny ,Rap,22308,80466,5752635,7208,346
 TrapMoneyBenny ,Rap,22308,13227,810528,1748,48
 Rap ,Rap,21975,311,16583,20,0
 @GloGangUpdates ,Rap,21975,19169,1540740,2941,233
 @GloGangUpdates ,Rap,21975,15849,1114648,2616,112
 @GloGangUpdates ,Rap,21975,61738,4723286,9217,612
 @GloGangUpdates ,Rap,21975,4155,279702,587,18
 @GloGangUpdates ,Rap,21975,3991,334340,1116,102
 @GloGangUpdates ,Rap,21975,6840,570571,1070,34
 Shabazz PBG ,Rap,21749,7228,477048,506,30
 Shabazz PBG ,Rap,21749,21620,1729187,1224,91
 けｍ SURF ,Rap,21456,7396,469943,985,261
 BOOFBOIICY ,Rap,21331,3092,108142,235,51
 Danny Wolf ,Rap,20682,11976,667109,844,47
 Weiland ,Rap,19568,2748,167970,256,35
 Weiland ,Rap,19568,6252,234192,559,589
 YSB OG a.k.a Kane Grocerys ,Rap,19521,2463,107626,301,20
 BRENTRAMBO ,Rap,19168,2667,120136,131,15
 BRENTRAMBO ,Rap,19168,3039,141971,125,29
 BRENTRAMBO ,Rap,19168,4962,212034,296,56
 BRENTRAMBO ,Rap,19168,3137,139907,158,33
 BRENTRAMBO ,Rap,19168,7472,360087,387,113
 F1LTHY ,Rap,18995,3485,169769,372,30
 ATL SMOOK ,Rap,18955,1580,76415,166,5
 ATL SMOOK ,Rap,18955,2395,178774,249,14
 ATL SMOOK ,Rap,18955,6119,412210,602,30
 DJ Screw Mixtapes ,Rap,18575,2462,144510,312,44
 DJ Screw Mixtapes ,Rap,18575,1424,83772,219,13
 DJ Screw Mixtapes ,Rap,18575,1011,63217,114,6
 DJ Screw Mixtapes ,Rap,18575,1429,97417,195,18
 DJ Screw Mixtapes ,Rap,18575,1581,97749,222,19
 DJ Screw Mixtapes ,Rap,18575,1422,73235,192,14
 DJ Screw Mixtapes ,Rap,18575,896,50906,118,11
 DJ Screw Mixtapes ,Rap,18575,1933,116982,259,21
 WIFIGAWD AKA UPT SOULJAH ,Rap,18548,2239,100269,296,47
 captaincrunch ,Rap,18092,658,24787,46,10
 captaincrunch ,Rap,18092,2800,114113,155,44
YG ADDIE A$AP ANT ,Rap,15225,2192,77089,174,28
 Deemed ,Rap,14848,1215,35431,215,102
 Deemed ,Rap,14848,2986,113880,494,126
 Deemed ,Rap,14848,202,5960,36,14
 Deemed ,Rap,14848,5576,242764,730,22
 Deemed ,Rap,14848,273,8900,62,11
Deemed ,Rap,14848,3997,168957,676,107
 David Shawty ,Rap,13057,2595,172121,209,40
 David Shawty ,Rap,13057,786,56993,72,9
 David Shawty ,Rap,13057,879,60091,80,37
 David Shawty ,Rap,13057,2036,105371,161,51
 David Shawty ,Rap,13057,951,57257,66,24
 David Shawty ,Rap,13057,790,41784,73,39
 David Shawty ,Rap,13057,781,36270,67,35
 David Shawty ,Rap,13057,1234,70222,89,78
 David Shawty ,Rap,13057,1963,101763,162,111
 David Shawty ,Rap,13056,583,21832,24,28
 David Shawty ,Rap,13056,568,19433,35,23
 Pasto Flocco ,Rap,12765,2439,185725,68,69
 Pasto Flocco ,Rap,12765,3074,197637,119,150
 Pasto Flocco ,Rap,12765,1423,91053,35,44
 Pasto Flocco ,Rap,12765,1988,168935,59,68
 Pasto Flocco ,Rap,12765,1077,83858,30,19
 Pasto Flocco ,Rap,12765,3677,258778,132,147
 Pasto Flocco ,Rap,12764,718,17665,21,48
 Pasto Flocco ,Rap,12764,1008,22683,32,91
 Pasto Flocco ,Rap,12764,618,15692,19,42
 Pasto Flocco ,Rap,12764,834,19908,22,43
 Pasto Flocco ,Rap,12764,735,18752,15,40
 Pasto Flocco ,Rap,12764,671,18010,24,44
 Pasto Flocco ,Rap,12764,599,18478,13,45
 hampi! ,Rap,12257,734,33450,55,25
 hampi! ,Rap,12257,377,21121,19,4
 hampi! ,Rap,12257,1156,62657,51,27
 GrownBoiTrap ,Rap,12012,50191,3531571,4377,181
 BBY GOYARD ,Rap,11934,1734,79180,123,40
 BBY GOYARD ,Rap,11934,14496,857313,976,284
 BBY GOYARD ,Rap,11934,1360,62005,134,23
 BALA CLUB ,Rap,11877,1564,59684,161,45
 BALA CLUB ,Rap,11877,498,17585,44,19
909Memphis,Rap,11742,3434,172013,342,70
 distance decay ,Rap,11293,574,20521,66,30
 TRiPPJONES ,Rap,10794,1080,46043,242,31
 Drugrixh Peso ,Rap,10694,9791,556961,1072,46
 Drugrixh Peso ,Rap,10694,3667,254180,290,11
 Drugrixh Peso ,Rap,10694,4492,276917,323,16
 CashBently ,Rap,10199,5292,317776,408,143
 CashBently ,Rap,10199,1654,106344,102,70
 YungJZAisDead ,Rap,10061,1157,69685,173,32
 YungJZAisDead ,Rap,10061,1687,89387,255,51
 Boom League : Hip Hop & RnB ,Rap,9391,94840,6628608,5483,342
 Lite Fortunato ,Rap,9352,1123,53933,110,6
 ppgcasper ,Rap,9336,1806,100825,150,44
 Ft. King Louie - Thats how we move by Lawless Inc. ,Rap,9273,105527,8568709,12937,709
 50Trax ,Rap,9032,47007,3084844,4441,212
 Dirty__Vans ,Rap,8253,7736,585985,790,50
 MilanMakesBeats ,Rap,8199,6589,340620,663,35
 Snoopy Dinero ,Rap,8197,60695,5402433,2957,189
 weef leaks* ,Rap,8145,39061,1972407,2837,161
 mechatok ,Rap,7812,4353,183484,450,135
 Drugrixh Hect ,Rap,7771,1988,174088,115,3
 Drugrixh Hect ,Rap,7771,2492,240763,137,3
 Drugrixh Hect ,Rap,7771,2453,250638,137,4
 Drugrixh Hect ,Rap,7771,1393,123885,78,3
 Drugrixh Hect ,Rap,7771,1790,149947,101,2
 YungenPlayDirty ,Rap,7737,3018,165296,451,7
 DJ PHAT RADIO © ,Rap,7624,247,10020,30,1
 DJ PHAT RADIO © ,Rap,7624,243,8978,20,0
 DJ PHAT RADIO © ,Rap,7624,88,3204,5,0
 YEAR0001 ,Rap,7623,49776,2552358,5182,358
 White Armor x Dj Kenn Aon by DjKenn AllOrNothing ,Rap,7518,3521,188272,353,59
 Mike Labyrinth ,Rap,7426,1088,41020,191,23
 GOONIE ,Rap,6951,2020,99186,129,125
 Tadoe Da Savage ,Rap,6710,3941,226175,268,21
 BEEZ EXCLUSIVEZ ,Rap,6701,2848,117998,297,15
 CoreyLingoBeats ,Rap,6673,17641,1031860,2189,93
 CoreyLingoBeats ,Rap,6673,1264,74585,96,5
 CoreyLingoBeats ,Rap,6673,9098,458367,857,48
 mixed matches ,Rap,6638,568,34769,38,20
 mixed matches ,Rap,6638,719,43016,55,19
 mixed matches ,Rap,6638,1436,68596,124,63
 mixed matches ,Rap,6638,1698,89331,135,57
 SBOY - THEHASHCLIQUE ,Rap,6474,1120,44263,182,37
 LIL SHINE ,Rap,5815,1186,72046,70,53
 LIL SHINE ,Rap,5815,519,31234,25,18
 ManeMane4CGG ,Rap,5732,1425,80182,179,6
 ManeMane4CGG ,Rap,5732,2177,128366,290,7
 ManeMane4CGG ,Rap,5732,2108,141475,214,16
 Lil Reese #300 ,Rap,5658,26365,2067435,4588,267
 Lil Reese #300 ,Rap,5658,7199,570091,618,26
 cp ,Rap,5570,1696,96358,151,40
 zellyocho ,Rap,5531,570,26017,30,21
 ATL 8A8Y by zellyocho ,Rap,5531,303,16782,18,7
 nappy 01 ,Rap,5383,564,27449,45,9
 Percocet ,Rap,5253,10638,579603,757,31
 Percocet ,Rap,5253,55039,2905194,3254,236
 Percocet ,Rap,5253,16520,980035,1265,76
 SODMG ,Rap,5248,10415,875517,936,53
 sadbalmain ,Rap,5242,731,33194,60,12
 S I L Δ S I S D E ▲ D ,Rap,5177,4358,221534,629,99
 Gnealz ,Rap,4826,4190,193405,492,11
 Gnealz ,Rap,4826,11003,423092,1608,83
 killavesi ,Rap,4807,1573,64082,152,37
 Buku Bandz ,Rap,4805,4663,251585,392,50
 JuggGems ,Rap,4696,26992,1574823,1795,171
 JuggGems ,Rap,4696,5008,277844,354,8
 Vision4k ,Rap,4606,1556,80158,152,41
 yungster jack ,Rap,4470,146,8450,16,7
 yungster jack ,Rap,4470,198,9576,13,9
 yungster jack ,Rap,4470,169,10055,7,5
 Carl Wheezer ,Rap,4282,4980,130139,403,453
 Carl Wheezer ,Rap,4282,669,14482,75,145
 GloGangTwins ,Rap,4280,85,7454,16,6
 Vlone Money Team VMT ,Rap,4223,8024,448343,988,24
 Yung Astro ,Rap,4197,452,30228,31,2
 Scarfo Da Plug ,Rap,4182,6894,718695,432,27
 callari ,Rap,4182,1156,26962,75,22
 Akachi Beats by 458 KEEZ ,Rap,4013,610,27281,70,3
 458 KEEZ ,Rap,4013,1280,91138,135,7
 StackboyTwaun ,Rap,3966,41142,2661091,2359,107
 korosu ,Rap,3928,1149,41124,175,49
 glizzy f baby ,Rap,3920,7990,522626,984,28
 Thrillboy ,Rap,3882,1478,78418,82,35
 Chief Keef ,Rap,3776,13463,811521,1109,135
 Akachi ,Rap,3639,1361,97749,96,11
 Akachi ,Rap,3639,219,14588,15,1
 Akachi ,Rap,3639,1123,56710,109,9
 Akachi ,Rap,3639,441,20929,57,1
 Akachi ,Rap,3639,560,21708,80,3
 Akachi ,Rap,3639,1371,52080,176,1
 Akachi ,Rap,3639,1085,54950,84,6
 Akachi ,Rap,3639,1969,119037,149,12
 Akachi ,Rap,3639,687,33011,57,4
 Akachi ,Rap,3639,1992,135585,159,7
 Akachi ,Rap,3639,2588,140264,126,23
 Akachi ,Rap,3639,2182,77952,118,21
 @Ghostrage X @AkachiBeats by Ghostrage ,Rap,3478,26,1025,4,1
 www.localsavage.com ,Rap,3293,260,20563,17,1
 SeanTrackz ,Rap,3243,2961,205187,361,19
 TayMasterChef ,Rap,3209,6432,321001,523,19
. 6Silky x Akachi by Lil $ega ,Rap,3190,685,34411,89,6
 ARS WAS TAKEN ,Rap,3175,312,11095,28,7
 Ka$hh Got Bandz$™ ,Rap,2933,8940,704105,556,74
 HIP RAP ,Rap,2785,2182,106295,293,13
N/A,Rap,2756,3472,50246,653,559
 Lapone Tarantino ,Rap,2726,3586,191861,527,24
 rich young,Rap,2615,31079,2328064,1068,53
PesosBaby ,Rap,2604,95670,7578732,6118,322
 2kthagoon ,Rap,10721,4600,608003,554,57
 2kthagoon ,Rap,10721,4709,279923,543,60
 TygaTrackz ,Rap,6002,169360,11630535,10807,283
 The Hip Hop Wave ,Rap,5936,82497,6433570,3877,200
 SEBii,Rap,5868,766,20819,66,43
