Username,Genre,Followers,Likes,Plays,Reposts,Comments
 Parkinson White ,Dance,17391,1513,46234,274,104
 Parkinson White ,Dance,17391,1026,30428,221,104
 Parkinson White ,Dance,17391,1230,41814,235,90
 Parkinson White ,Dance,17391,1889,68811,390,144
 DIGITIST ,Dance,15091,405,4298,71,39
 DIGITIST ,Dance,15091,410,3502,82,40
 DIGITIST ,Dance,15091,2405,23056,387,109
 Effin ,Dance,14984,6030,74610,967,254
 Control Freak ,Dance,12513,1918,19998,229,68
 Control Freak ,Dance,12513,15909,288785,1901,744
 Akeos ,Dance,12467,2162,18950,327,107
 Akeos ,Dance,12467,2960,25055,475,223
 Akeos ,Dance,12467,2901,29945,468,168
 KADAVER ,Dance,12185,725,6296,130,35
 Cybertr0n ,Dance,11689,7832,118872,2058,1994
 Cybertr0n ,Dance,11689,1273,14344,395,226
 CROMATIK ,Dance,11204,2235,36234,261,52
 Invictous ,Dance,11110,726,7352,101,74
 ID ,Dance,10853,1526,16126,244,130
Odio Records,Dance,10733,720,4655,141,86
Odio Records,Dance,10733,1125,8934,201,135
Odio Records,Dance,10733,924,10547,151,106
Odio Records,Dance,10733,1557,19637,342,136
Odio Records,Dance,10733,901,11336,177,46
 RAVACHOL ,Dance,10675,1134,10867,186,52
 RAVACHOL ,Dance,10675,845,11305,140,63
 TRILLA ,Dance,10620,268,2403,62,52
 Nexu5 ,Dance,10502,1999,23403,274,103
 Nexu5 ,Dance,10502,1318,15189,247,163
 Nexu5 ,Dance,10502,1076,21001,154,104
 Nexu5 ,Dance,10502,1746,21773,322,121
 Interval Audio ,Dance,10186,319,2943,67,43
 Interval Audio ,Dance,10186,441,4715,81,80
 Interval Audio ,Dance,10186,281,2832,62,27
 Interval Audio ,Dance,10186,320,3567,79,51
 Interval Audio ,Dance,10186,344,3838,73,32
 Interval Audio ,Dance,10186,420,4640,65,39
 Interval Audio ,Dance,10186,602,7449,99,54
 Interval Audio ,Dance,10186,504,6057,97,46
 Hukae ,Dance,10128,1949,21579,315,117
 Hukae ,Dance,10128,2190,27407,355,160
 NEONIX ,Dance,10080,2520,26922,389,156
 Blacklight Audio ,Dance,8739,159,1663,47,16
 Blacklight Audio ,Dance,8739,363,2860,109,49
 TRVCY ,Dance,8626,1546,12867,270,173
 REAPER ,Dance,8433,6000,147015,650,182
 SABLE VALLEY ,Dance,8325,7746,129748,1121,198
 SABLE VALLEY ,Dance,8325,9582,144818,1379,285
 GLOCKZ ,Dance,7925,209,2282,43,44
 GLOCKZ ,Dance,7925,253,2953,42,39
 GLOCKZ ,Dance,7925,1307,19988,273,271
 GLOCKZ ,Dance,7925,1496,19628,461,486
 NXSTY MFKAS ,Dance,7274,3288,54614,692,86
 EXECUTIONER. ,Dance,7140,536,6813,116,76
 Drippy ,Dance,7121,703,13646,172,80
 Drippy ,Dance,7121,2162,39956,301,184
 YUKI DUBZ ,Dance,6863,455,8584,92,65
 FUGITIVES ,Dance,6813,440,3979,80,59
 // PHEX ,Dance,6277,830,57870,93,60
 JG DUBZ ,Dance,6109,1035,11595,303,113
 Sokka ,Dance,6083,47,686,17,7
 SNOOKO ,Dance,5707,900,11007,159,46
 CHAIMBA ,Dance,5685,1122,12448,204,132
 CHAIMBA ,Dance,5685,1015,12550,180,146
 SkunkDubstep ,Dance,5681,1305,51760,350,72
 SkunkDubstep ,Dance,5681,634,20370,165,69
 SAIGGA ,Dance,5524,1779,24902,238,155
 SAIGGA ,Dance,5524,984,7020,280,83
 SAIGGA ,Dance,5524,988,9957,165,90
 Activated ,Dance,5445,154,2013,20,18
 Activated ,Dance,5445,15,204,2,3
 Activated ,Dance,5445,11,205,1,1
 ARCRUX ,Dance,5434,882,10542,151,46
 ARCRUX ,Dance,5434,647,6543,116,48
 ARCRUX ,Dance,5434,939,8721,165,83
 ARCRUX ,Dance,5434,1776,21734,359,107
 Protial ,Dance,5284,506,5399,59,59
 Versa ,Dance,5155,8982,135162,1206,380
 Eater ,Dance,5121,796,7275,135,48
 laxcity // b-sides ,Dance,5044,263,6326,28,20
 i-CON™ ,Dance,5029,337,8577,43,54
 SERPENTS ,Dance,4683,3691,41345,822,512
 SERPENTS ,Dance,4683,8950,152765,2139,326
 SERPENTS ,Dance,4683,3893,47996,702,195
 SKORE ,Dance,4637,136,2093,13,15
 SKUM ,Dance,4574,167,1878,25,26
 REAPER ,Dance,4514,614,6762,98,55
 NVADRZ ,Dance,4514,1503,17006,293,77
 Blytz ,Dance,4174,208,4759,33,21
 YUNIT. ,Dance,4112,959,9850,266,289
 YUNIT. ,Dance,4112,988,7278,285,307
 Dwarv ,Dance,4019,1098,15165,127,72
 ALLESNIK ,Dance,3978,144,5053,17,22
 CLPR ,Dance,3783,253,2527,43,22
 CLPR ,Dance,3783,150,1305,19,17
 NT_KAIZOKU ,Dance,3572,336,3824,69,33
 Katch ,Dance,3460,295,3000,52,61
 Ikotu ,Dance,3449,2408,74744,356,143
 Benda ,Dance,3343,2170,54086,260,42
 voltra ,Dance,2909,476,4616,61,72
 Gogglez ,Dance,2594,238,5811,32,50
 knockthisoff ,Dance,2561,2764,46835,307,60
 knockthisoff ,Dance,2561,1827,33474,269,52
 Moley ,Dance,2439,352,3841,68,51
 Moley ,Dance,2439,823,9369,146,106
 gawd ,Dance,2400,192,4982,42,20
 AYONIKZ ,Dance,14011,1026,5435,234,118
 AYONIKZ ,Dance,14011,1787,22190,336,186
 AYONIKZ ,Dance,14011,1002,10719,180,94
 AYONIKZ ,Dance,14011,1458,24046,219,79
 AYONIKZ ,Dance,14011,976,13074,147,82
 rellyOnSMASH ,Dance,13958,1617,105953,300,2
 jub dubs ,Dance,13806,2465,35839,314,111
Fayte,Dance,13532,2251,27011,478,110
Fayte,Dance,13532,868,12028,188,71
 MOTUS. ,Dance,13239,231,3182,49,22
 MOTUS. ,Dance,13239,556,5940,116,89
 HOL! ,Dance,2265,1824,22278,217,104
 DDD ,Dance,2094,884,11154,93,42
 Stranger Twins ,Dance,2013,882,10296,79,42
 Stranger Twins ,Dance,2013,968,15444,115,29
 scheme ,Dance,1348,913,9191,127,160
 SEWS ,Dance,1323,406,3376,111,66
 AMOONS ,Dance,1187,583,5342,159,161
 ALIAS ,Dance,1055,675,8899,136,48
 SUBKILL ,Dance,703,407,4329,88,32
 Aevi⁺ ,Dance,474,101,1418,9,26
 GRVDNCR ,Dance,404,1228,9732,166,51
 LOST TERRA ,Dance,258,112,2390,19,15
 Flakzz Extras ,Dance,169,1215,14355,266,36
 joshcassidy ,Dance,4100,1023,8797,272,61
 MAD DUBZ ,Dance,1780,430,4934,71,72
MAD DUBZ,Dance,1780,267,15316,26,5
MAD DUBZ,Dance,1780,490,4703,85,65
 ANTI ALL ,Dance,724,1562,28318,384,80
 Gud ,Beats,86098,2032,33368,228,94
 verzache ,Beats,61872,3669,118902,514,132
 Penthouse Penthouse ,Beats,60583,4993,197778,1103,128
 Moods ,Beats,60271,14132,606310,2712,314
 Moods ,Beats,60271,1960,97889,373,108
 drip-133 ,Beats,59677,753,40736,93,20
 drip-133 ,Beats,59677,1252,82513,167,24
 ZenSupremacy ,Beats,51960,3210,124326,514,58
 McClenney ,Beats,50962,4256,237957,834,74
 Chill Children ,Beats,48344,4713,161044,1082,86
 DIVERSA ,Beats,47833,1489,57602,244,114
 DIVERSA ,Beats,47833,1360,43274,193,76
 eugene cam ,Beats,46417,27120,1264458,5145,539
jetson ,Beats,42761,6790,232408,1724,265
 spirited. ,Beats,42606,1129,38941,233,34
 VAGUE003 ,Beats,42405,5330,268912,839,84
 instupendo ,Beats,36884,64615,3146697,9588,1021
 instupendo ,Beats,36884,4589,170557,655,166
 JNTHN STEIN ,Beats,33266,1710,68600,265,44
 JNTHN STEIN ,Beats,33266,12230,473330,2110,210
 JNTHN STEIN ,Beats,33266,1543,58550,218,35
 DEFFIE ,Beats,32610,20653,761937,4360,327
 GRXGVR ,Beats,30559,1224,49553,153,49
 GRXGVR ,Beats,30559,2092,72742,311,84
 GRXGVR ,Beats,30559,2531,108458,264,84
 GRXGVR ,Beats,30559,7647,339246,1386,195
 GRXGVR ,Beats,30559,8527,385969,1302,186
 rage logic ,Beats,29227,8226,255550,1283,358
 Dr. Derg ,Beats,28623,4936,171972,814,149
UV boi,Beats,27627,5918,259975,1448,126
 meltycanon ,Beats,25468,1272,61033,140,21
 The Kount ,Beats,25163,4588,165272,716,97
 The Kount ,Beats,25163,6882,206943,1151,180
 The Kount ,Beats,25163,731,16895,51,26
 The Kount ,Beats,25163,555,12270,73,8
 The Kount ,Beats,25163,548,11581,66,18
 The Kount ,Beats,25163,260,7028,33,11
 Penacho ,Beats,12036,430,27171,36,8
 defkon ,Beats,8651,683,19473,123,71
 defkon ,Beats,8651,405,12448,60,24
 defkon ,Beats,8651,1796,49208,291,109
 defkon ,Beats,8651,355,10441,77,52
 skys ,Beats,7564,41563,2388892,5911,259
 \u200eEX3 ,Beats,5306,8503,390018,1637,284
 \u200eEX3 ,Beats,5306,394,13945,51,8
 \u200eEX3 ,Beats,5306,710,29203,91,23
 JEW3LZ_BEATZ ,Beats,5097,258,7035,39,13
 Bertholet ,Beats,4478,757,19037,132,65
 Bertholet ,Beats,4478,664,18843,110,46
 Bertholet ,Beats,4478,1059,24772,183,55
 topkeybeats ,Beats,3746,308,10460,36,41
 apart ,Beats,2421,116,3577,11,9
 apart ,Beats,2421,192,6589,38,19
 apart ,Beats,2421,71,2401,6,6
 Holyrain ,Beats,19431,12048,562526,132,259
 junyii. ,Beats,11101,8274,359344,1065,153
 junyii. ,Beats,11101,3002,144513,370,91
 EYUKALIPTUS ,Beats,6894,3885,140659,713,76
 Resotone ,Beats,5360,453,25607,92,31
 Jay Som ,Beats,3912,3209,137356,283,29
 BANDWIDTHBOYS ,Beats,2238,54,3444,7,8
 styn ,Beats,23945,633,17656,107,78
 styn ,Beats,23945,628,19650,100,75
 styn ,Beats,23945,741,24513,115,87
 styn ,Beats,23945,216,7565,37,15
 downtime ,Beats,23201,1134,43625,141,38
 downtime ,Beats,23201,4498,206580,469,132
 JeF-Zero ,Beats,1602,1126,34774,206,32
 JeF-Zero ,Beats,1602,138,3880,12,14
 JeF-Zero ,Beats,1602,79,2275,11,5
 JeF-Zero ,Beats,1602,77,2222,11,9
 JeF-Zero ,Beats,1602,70,1623,5,2
 JeF-Zero ,Beats,1602,308,11196,51,23
 JeF-Zero ,Beats,1602,501,11074,84,31
 JeF-Zero ,Beats,1602,255,7029,36,10
 shxdown ,Beats,1271,479,15265,84,33
 Atem. ,Beats,437,777,36479,114,25
 90FIVE ,Beats,363,149,5980,27,12
 xander. ,Beats,17598,1383,51260,209,34
 glxy ,Beats,12838,8675,396028,1436,182
 Duumu ,Beats,11479,3052,91836,511,218
 NECRO OFFICIAL PAGE ,Beats,11432,5132,297328,375,57
 AGoff Tha Hitman ,Beats,11427,1645,84488,188,19
 fleece ,Beats,11332,2217,94012,325,105
Future,Rap,9837167,483165,36467471,36316,1019
Future,Rap,9837167,551009,42768133,41645,1165
Future,Rap,9837167,229991,18145628,18761,490
 Future ,Rap,9837167,66661,5663128,4643,84
 Future ,Rap,9837167,1183100,86440786,83876,5366
 Future ,Rap,9837167,951215,68840949,66434,4858
 Future ,Rap,9837167,1198410,93166809,95490,4733
 Future ,Rap,9837167,56188,4899842,3658,110
 Future ,Rap,9837167,529494,38432615,36970,1190
 Future ,Rap,9837167,12345,1087483,1123,100
 Future ,Rap,9837167,7881,832695,581,30
 Future ,Rap,9837167,242151,19382484,15760,2066
 Future ,Rap,9837167,41911,3509322,2771,160
 Future ,Rap,9837167,11936,1173784,849,30
 Future ,Rap,9837167,14804,1383090,1085,53
 Future ,Rap,9837167,9394,893110,858,36
 Future ,Rap,9837167,133857,11186881,9777,250
 Future ,Rap,9837167,466155,38664824,34577,903
 Future ,Rap,9837167,1750,167451,110,6
 Future ,Rap,9837167,10108,814963,752,25
 Future ,Rap,9837167,6726,530891,496,10
 Future ,Rap,9837167,6910,715736,532,64
 Future ,Rap,9837164,6905,648439,457,40
 Future ,Rap,9837164,2644,302198,155,17
 Future ,Rap,9837164,62484,2211931,5781,359
 Def Jam Recordings ,Rap,8526734,171669,11948302,26155,1918
 Def Jam Recordings ,Rap,8526734,49001,3358951,7486,1166
 XXXTENTACION ,Rap,3985792,205548,18000880,10098,1617
 XXXTENTACION ,Rap,3985791,189293,14252265,10277,2000
 LIL UZI VERT ,Rap,2278016,177960,14739975,6885,1361
 LIL UZI VERT ,Rap,2278015,202993,14683601,13632,947
 LIL UZI VERT ,Rap,2278015,777625,63575431,37965,5241
 LIL UZI VERT ,Rap,2278015,286077,22898359,16774,2096
 LIL UZI VERT ,Rap,2278015,19994,2153672,1233,175
 LIL UZI VERT ,Rap,2278015,308979,24531217,15621,2264
 LIL UZI VERT ,Rap,2278015,758453,71453821,27678,6927
 LIL UZI VERT ,Rap,2278015,215646,19309592,8386,1521
 LIL UZI VERT ,Rap,2278015,163987,15213332,5944,1056
 LIL UZI VERT ,Rap,2278015,722928,73777221,24650,6208
 LIL UZI VERT ,Rap,2277993,438382,31995680,33446,4394
 LIL UZI VERT ,Rap,2277993,546223,46533924,37006,4418
 LIL UZI VERT ,Rap,2277993,150931,12144835,7556,979
 LIL UZI VERT ,Rap,2277988,83885,6599090,6646,243
 LIL UZI VERT ,Rap,2277987,69904,5668198,4151,472
 LIL UZI VERT ,Rap,2277986,97859,7061665,4531,1022
 LIL UZI VERT ,Rap,2277985,295794,25543278,17392,1366
 LIL UZI VERT ,Rap,2277985,1808286,15745556,112554,19414
 LIL UZI VERT ,Rap,2277985,1616600,13431239,92412,15537
 LIL UZI VERT ,Rap,2277985,936507,79798738,53912,6919
 LIL UZI VERT ,Rap,2277985,158882,14701724,10062,861
LIL UZI VERT,Rap,2277985,225969,21560770,12094,953
LIL UZI VERT ,Rap,2277985,315707,27501356,18660,1363
LIL UZI VERT ,Rap,2277985,304096,25648325,18536,1331
LIL UZI VERT ,Rap,2277984,362806,30935972,19792,1882
 50 Cent ,Rap,1727931,180097,10674992,5249,601
LIL PEEP,Rap,1725596,219911,23174515,8111,2067
 Travis Scott ,Rap,1687245,321353,20076269,36915,1984
 Travis Scott ,Rap,1687245,55934,3523063,5299,280
 Travis Scott ,Rap,1687245,88327,5590018,7949,455
